rank,name,alternates,distance_ly,x,y,z,spectral_class,spectral_type,luminosity,magnitude,star_count,wikipedia
659,Gl 616,18    Sco,45.34,-19.73,-40.28,-6.6,G,G1V,1.0715193052376057,5.49,1,
660,Gl 353,,45.36,-29.18,22,26.86,M,M0,0.014138391390945635,10.19,1,
661,GJ 3637,,45.36,-43.82,11.47,2.38,M,m,0.0003966431879469,14.07,1,
662,Gl 400 A and B,Gl 400,45.39,-33.65,11.36,28.26,M,M2,0.03886297090386471,9.16,2,
663,GJ 1182,,45.43,-37.59,-25.24,3.69,M,m,0.0003218103443093,14.3,1,
664,Gl 836,,45.49,33.9,-23.95,-18.62,M,M3.5,0.0007191177357825,13.43,1,
665,HD 23356,,45.5,24.05,35.63,-14.9,K,K2V,0.24501913368807834,7.1,1,
666,Gl 147,10    Tau,45.54,26.63,36.94,0.32,F,F9V,3.2658783217233576,4.29,1,
667,Gl 899,,45.59,45.3,-5.15,0.14,M,M3,0.005845208403588553,11.16,1,
668,HIP 52190,,45.61,-33.8,12.34,-28.03,,,0.006655795963672291,11.02,1,
669,HIP 52596,,45.67,-37.16,12.56,-23.39,,,0.005551367774352103,11.22,1,
670,GJ 1072,,45.68,12.58,40.4,17.2,M,m,0.0001408639946361,15.21,1,
671,Gl 552,,45.69,-34.98,-26.72,12.23,M,M3,0.00922146665124263,10.67,1,
672,GJ 3564,,45.75,-33.8,22.81,20.75,M,M:,0.00252348077248057,12.08,1,
673,Gl 133,,45.8,5.09,6.14,45.1,M,M2:,0.005633781508509377,11.21,1,
674,Gl 770,,45.82,20.03,-36.78,-18.59,K,K3/K4V,0.5587274389940199,6.22,1,
675,Chalawan,Gl 407|47    UMa,45.87,-33.7,9.11,29.75,G,G0V,1.6749428760264369,5.03,1,Chalawan
676,GJ 1046,,45.9,30.19,20.98,-27.48,,,0.003988411869090523,11.59,1,
677,Gl 201,,45.94,6.93,43.3,13.68,K,K2,0.1163054323328467,7.93,1,
678,GJ 4040,,45.94,-0.3,-31.57,33.38,M,M:,0.0033235330357747747,11.79,1,
679,GJ 3061B,,45.94,40.69,9.12,19.28,M,m,0.0008271799518641,13.3,1,
680,GJ 3490B,,45.94,-20.84,30.84,-26.92,,,0.006880183161430377,11,1,
681,GJ 3861,,45.94,-18.68,-15.24,39.1,M,m,0.0034801663221500348,11.74,1,
682,GJ 4038,,45.94,-0.57,-44.2,12.49,M,m,0.0022573557110214474,12.21,1,
683,GJ 4288A,,45.94,37.53,-13.96,-22.52,M,m,0.007406277836681544,10.92,1,
684,GJ 4289B,,45.94,37.53,-13.96,-22.52,M,m,0.0015191476984475203,12.64,1,
685,Gl 878,,45.94,21.37,-6.3,40.18,M,M3,0.001360191322855669,12.76,1,
686,Gl 739,,45.97,7.81,-29.58,-34.31,M,M4,0.0061094202490557204,11.13,1,
687,Gl 685,,45.98,-2.32,-21.69,40.48,M,M1,0.017635996338979942,9.98,1,
688,Errai,Gl 903|35Gam Cep,46,9.81,-0.89,44.93,K,K1IV,9.003264310597224,3.21,1,Errai
689,GJ 1220,,46,-0.79,-6.28,45.56,M,m,0.0003688077172262,14.18,1,
690,GJ 4073,,46.07,6.57,-34.32,30.02,M,m,0.0000088715601204,18.23,1,
691,Gl 875,,46.09,43.64,-13.69,-5.69,K,K5,0.01978791335233736,9.86,1,
692,GJ 3693,,46.2,-45.83,1.22,5.63,M,M6  :,0.0000122011284703,17.89,1,
693,Gl 42,,46.22,38.82,9.15,-23.36,K,K2V,0.24143487297141508,7.15,1,
694,HIP 36985,,46.23,-18.8,42.16,-2.51,,,0.019733312795365016,9.87,1,
695,Gl 481,,46.24,-43.87,-7.96,12.26,K,K2,0.12000518202042645,7.91,1,
696,Gl 684 A and B,Gl 684|26    Dra,46.28,-2.38,-21.69,40.82,G,G0V,1.5222385852158513,5.23,2,
697,Gl 532,,46.33,-26.32,-13.99,35.46,K,K5,0.05209547473285551,8.82,1,
698,Gl 282 A and B,Gl 282,46.35,-19.55,41.92,-2.91,K,K2V,0.28275806356199007,7.18,2,
699,Gl 111,1Tau1Eri,46.38,33.04,29,-14.77,F,F5/F6V,2.8707805820246897,4.47,1,
700,Dalim A and B,Gl 127|Alp For,46.43,27.17,30.19,-22.5,F,F8V,5.693303278266757,3.8,2,Dalim
701,GJ 3655,,46.46,-44.61,7.5,-10.63,M,M8,0.000002625427319,19.57,1,
702,Gl 589 A and B,Gl 589,46.46,-26.11,-35.72,14.13,M,M4.5:,0.0020978725009846793,12.41,2,
703,HD 150689,,46.52,-11.74,-34.22,-29.24,K,K2V,0.17394021397803056,7.52,1,
704,Gl 807,3Eta Cep,46.53,14.5,-16.49,41.02,K,K0IV,7.6630207227391915,3.41,1,
705,GJ 3211,,46.53,30.77,34.89,0.53,,,0.007733925780489969,10.9,1,
706,Gl 168.1,,46.53,18.16,39.93,15.52,,,0.0001707654472814,15.04,1,
707,GJ 3846,,46.57,-37.12,-27.2,7.2,M,M:,0.0022782427662500796,12.23,1,
708,Gl 726,,46.57,9.55,-45.48,-2.96,K,K5,0.053112898185501245,8.81,1,
709,GJ 3136,,46.59,25.63,16.15,35.4,M,M5  :,0.001828100216142741,12.47,1,
710,GJ 3237,,46.59,27.22,37.71,2.84,M,dM5  :,0.0005081594425606,13.86,1,
711,GJ 3467,,46.59,-22.79,40.21,5.91,M,m,0.0005520774392808,13.77,1,
712,GJ 3729,,46.59,-34.49,-4.4,31.01,M,m,0.0012302687708123812,12.9,1,
713,GJ 3943,,46.59,-7.11,-14.13,-43.83,K,k-m,0.0005623413251903,13.75,1,
714,Gl 529,,46.64,-38.35,-19.91,-17.56,K,K4/K5V,0.09700631337839567,8.16,1,
715,GJ 3148A,,46.72,33.14,22.5,-24.05,,,0.0027797132677592857,12.02,1,
716,Gl 672,72    Her,46.73,-6.73,-38.84,25.08,G,G0V,1.2600854590882373,5.38,1,
717,Gl 546,,46.79,-33.12,-23.61,23.13,K,K5V,0.06754605666335009,8.56,1,
718,Gl 311,3Pi 1UMa,46.82,-12.66,15.19,42.44,G,G1.5Vb,1.004615790278395,5.63,1,
719,Gl 480,,46.87,-45.24,-7.75,9.5,M,M4,0.004558269515401941,11.49,1,
720,Gl 796,,46.91,27.62,-32.86,-18.91,G,G8/K0V,0.5147543199312623,6.36,1,
721,Gl 816,,46.91,33.25,-32.68,-5.16,M,M3,0.005802297599818729,11.23,1,
722,Gl 130.1 A and B,Gl 130.1,46.92,16.22,18.69,39.87,M,M2,0.01629019972976785,10.53,2,
723,Gl 202,111    Tau,46.92,6.92,44.24,14.02,F,F8V SB,1.8030177408595685,5,1,
724,Sharjah,,46.96,-20.05,-39.65,-15.19,,,0.005252910484500484,11.34,1,Sharjah
725,Gl 794,,47,26.56,-33.28,19.91,A,DA3,0.004458615279480702,11.52,1,
726,Gl 763,,47.05,18.83,-42.95,3.76,K,K5,0.03299134337888642,9.35,1,
727,Gl 363,,47.06,-21.72,14.87,39.01,M,M3.5,0.0018130091670170191,12.5,1,
728,GJ 3093A,,47.13,44.09,16.65,0.44,M,m,0.0004694615193826,13.97,1,
729,GJ 3094B,,47.13,44.09,16.65,0.44,M,m,0.0001818025623774,15,1,
730,GJ 4026,,47.13,-2.6,-42.76,19.66,M,m,0.0015545331940607832,12.67,1,
731,Gl 714,,47.13,3.26,-24.57,-40.09,M,M1,0.020873727039105484,9.85,1,
732,GJ 3892,,47.14,-31.86,-34.65,2.6,M,M:,0.004742419852602443,11.46,1,
733,GJ 1171,,47.2,-41.15,-17.16,15.49,,,0.0002339914561055,14.73,1,
734,Gl 712,,47.2,4.52,-46.69,5.21,M,M3,0.0016951182515314003,12.58,1,
735,GJ 3438,,47.26,-12.23,34.48,29.92,M,M1,0.01386755828871889,10.3,1,
736,GJ 1177 A and B,GJ 1177,47.26,-35.57,-18.06,-25.35,K,K5/M1V+K5,0.14348215707162637,8.13,2,
737,GJ 3614,,47.27,-41.48,15.32,-16.7,D,DQP9,0.0000476869998102,16.46,1,
738,GJ 1157,,47.27,-32.3,-3.26,-34.36,K,k,0.0006522288424656,13.62,1,
739,GJ 3866,,47.27,-33.54,-30.04,-14.38,D,DC9,0.0000468166139724,16.48,1,
740,GJ 3893,,47.27,-30.12,-32.89,15.67,M,m,0.000836372991584,13.35,1,
741,Gl 630.1 A and B,Gl 630.1,47.27,-9.36,-23.85,39.7,M,dM4  e,0.001448880222729744,12.9,2,
742,GJ 3997,,47.27,-8.56,-43.87,15.39,M,M2,0.013134090365327325,10.36,1,
743,Gl 123,,47.31,32.48,34.36,1.62,M,M0V,0.043171784447092236,9.07,1,
744,Talitha A and B and C,Gl 331|9Iot UMa,47.32,-22.3,22.45,35.19,A,A7IV,10.372545482847656,3.12,3,Talitha
745,Gl 611 A and B,Gl 611,47.36,-17.67,-32.19,29.9,G,G8V,0.3984725970212479,6.66,2,
746,Gl 549 A and B,Gl 549|23The Boo,47.39,-23.59,-17.33,37.27,F,F7V,4.455052780568189,4.04,2,
747,Gl 875.1,,47.42,38.55,-11.81,24.96,M,M3.5Ve,0.003992087024388079,11.66,1,
748,Gl 334,,47.48,-34.14,32.19,-7.27,M,M0,0.029268468623787892,9.5,1,
749,HIP 75807,,47.48,-28.83,-37.29,-5.76,,,0.001898453656661502,12.47,1,
750,Gl 326 A and B,Gl 326,47.48,-31.84,33.53,-10.78,M,M6   J,0.0032109274151922184,12.52,2,
751,GJ 4203A,,47.54,38.18,-28.3,1.48,D,dM,0.0008456682000994,13.35,1,
752,GJ 4204B,,47.54,38.18,-28.3,1.48,M,m,0.0002932243282303,14.5,1,
753,Gl 281,,47.56,-19.97,43.13,1.81,M,M0,0.025327947656899934,9.66,1,
754,HIP 28035,,47.57,0.79,42.43,-21.49,,,0.00971851702940168,10.7,1,
755,HIP 42525,,47.59,-23.01,27.37,31.4,F,F8,0.019408858775927754,9.95,1,
756,Gl 269 A and B,Gl 269,47.6,-10.77,30.64,-34.8,K,K2V,0.5190764155218497,6.7,2,
757,Gl 116,,47.63,28.73,26.82,26.9,K,K6:,0.02684108083545227,9.6,1,
758,HIP 28936,,47.64,-1.32,46.79,8.89,F,F0,0.023834168206731524,9.73,1,
759,Gl 833,,47.68,24.41,-17.62,-36.98,K,K2V,0.25941793621188125,7.14,1,
760,Gl 838.6,,47.73,27.82,-16.92,-34.91,M,M3,0.002984008115930217,11.99,1,
761,HIP 86961,,47.76,-2.43,-40.38,-25.38,M,M2V:,0.011890496789850966,10.49,1,
762,Gl 259,,47.77,-11.34,41.43,-20.9,K,K1V,0.38690113165510837,6.71,1,
763,Gl 420 A and B,Gl 420,47.77,-13.33,2.64,45.79,K,K5,0.16350995481712696,7.68,2,
764,Gl 596.1 A and B,Gl 596.1|23Psi Ser,47.81,-26.7,-39.6,2.1,G,G5V,0.8501977119846138,5.86,2,
765,GJ 3252,,47.82,25.52,40.44,-0.73,M,m,0.0000115984512119,18.02,1,
766,GJ 1099,,47.82,-19.12,43.83,0.82,M,m,0.0031651915672262615,11.93,1,
767,Gl 613,,47.84,-12.24,-23.44,-39.87,K,K3V,0.2684108083545227,7.11,1,
768,Gl 805,16Psi Cap,47.87,28.7,-32.41,-20.44,F,F5V,4.180228289540324,4.13,1,
769,GJ 3305,,47.96,16.85,44.86,-2.09,M,M1,0.010934526967309195,10.59,1,
770,GJ 3649,,47.96,-44.4,9.31,15.56,M,M1,0.009264031007363985,10.77,1,
771,GJ 3775,,47.96,-45.18,-16,1.87,M,m,0.0012212371301653089,12.97,1,
772,GJ 3809A,,47.96,-42.59,-21.94,2.34,M,M2:,0.006292163512879858,11.19,1,
773,GJ 3894,,47.96,-31.61,-35.06,-8.53,M,M4,0.0003722202530178,14.26,1,
774,GJ 4228,,47.96,39.51,-24.74,11.28,M,m,0.0005044289459524,13.93,1,
775,Gl 233A,,48.04,-5.18,45.19,15.45,K,K0,0.36677523159949493,6.78,1,
776,Gl 604,,48.05,-17.99,-30.44,-32.54,K,K5V,0.11282361216489915,8.06,1,
777,Gl 154,,48.11,23.77,36.02,21.25,K,K5,0.027139384876415866,9.61,1,
778,Gl 289,,48.18,-20.56,40.22,16.77,M,M2,0.004952220800885213,11.46,1,
779,Gl 231.3,,48.25,-4.04,47.75,-5.59,M,M4,0.0011376272858234287,13.06,1,
780,GJ 3770,,48.25,-30.98,-10.2,-35.55,D,DC9+,0.0000288403150313,17.05,1,
781,Gl 521.1,,48.26,-43.61,-20.36,-3.52,M,M0V,0.02731492422089181,9.61,1,
782,GJ 9724,,48.28,25.96,-23.41,-33.31,M,M1:,0.0030817684166115087,11.98,1,
783,Gl 582,Nu 2Lup,48.31,-20.46,-24.77,-36.08,G,G2V,1.0500258721108844,5.65,1,
784,GJ 4338B,,48.32,35.88,-4.82,32,M,M3 :,0.002019296069798116,12.44,1,
785,Gl 514.1,,48.39,-44.19,-18.31,-7.33,M,M4  :,0.0003826484865951,14.25,1,
786,Gl 791,,48.41,25.74,-34.25,-22.54,M,M3,0.005233593651867575,11.41,1,
787,Gl 738 A and B,Gl 738,48.51,10.03,-39.47,26.35,G,G0V,1.7649872724041504,5.2,2,
788,Gl 225,16Eta Lep,48.53,0.74,47.05,-11.88,F,F1V,6.327031548665008,3.71,1,
789,Gl 483,,48.54,-29.48,-5.76,38.12,K,K3V,0.3028307694265777,7.01,1,
790,GJ 4029,,48.54,-1.96,-44.74,18.72,M,m,0.0000017587333541,20.1,1,
791,GJ 1228,,48.54,3.69,-27.74,39.66,D,DXP8,0.0001216746203979,15.5,1,
792,GJ 4337A,,48.54,36.04,-4.84,32.14,M,M2,0.0034450854628657896,11.87,1,
793,Rasalhague,Gl 681|55Alp Oph,48.59,-5.18,-47.14,10.57,A,A5III,28.444611074479155,2.08,1,Rasalhague
794,GJ 1096,,48.61,-13.3,38.46,26.58,M,m+,0.0003121763510848,14.48,1,
795,GJ 2128,,48.62,-9.05,-47.28,6.82,M,M3.5,0.004906818567679515,11.49,1,
796,Gl 781.1 A and B,Gl 781.1,48.62,21.87,-35.09,-25.59,M,M,0.00443208409190077,12.19,2,
797,GJ 3097,,48.68,44.67,17.51,8.25,M,dM3.5,0.0010864256236170645,13.13,1,
798,GJ 3117A,,48.68,18.55,9.85,43.91,M,dM2,0.005495408738576243,11.37,1,
799,GJ 3118B,,48.68,18.56,9.85,43.91,A,DA6,0.0003076096814741,14.5,1,
800,GJ 3208,,48.68,28.27,32.01,23.36,M,m,0.0000380189396321,16.77,1,
801,GJ 3256,,48.68,25.03,41.02,-7.75,M,M3,0.00630957344480193,11.22,1,
802,GJ 3856,,48.68,-36.85,-28.84,13.43,M,m,0.0006982324040772,13.61,1,
803,GJ 4109,,48.68,15.55,-39.92,23.12,M,M3.5,0.00197696964011186,12.48,1,
804,GJ 4276,,48.68,22.69,-9.95,41.91,M,m,0.0013304544179780914,12.91,1,
805,GJ 4352,,48.68,46.53,-4.45,-13.61,M,M2,0.005649369748123017,11.34,1,
806,Gl 258,,48.69,-5,17.31,45.24,M,M5,0.0032210687912834312,11.95,1,
807,Gl 52,,48.7,20.48,6.18,43.75,K,K7V,0.048797772728648575,9,1,
808,Alchiba,Gl 455.3|1Alp Crv,48.72,-44.22,-1.62,-20.38,F,F0IV/V,4.790711300030742,4.02,1,Alchiba
809,GJ 9773,,48.8,43.05,-21.79,7.26,M,M3,0.0031188895840939352,11.99,1,
810,GJ 1279,,48.87,18.07,-4.03,-45.23,K,K5V,0.09444957325077062,8.29,1,
811,GJ 3181,,48.9,35.05,31.16,13.82,M,M6,0.0000352858025829,16.86,1,
812,Gl 163,,48.91,13.56,25.84,-39.25,M,M,0.0037670379898390853,11.79,1,
813,Gl 14,,48.94,36.86,2.76,32.07,M,M0,0.04970499105762346,8.99,1,
814,HIP 12261,,48.96,19.6,16.14,-41.86,,,0.002232543861616742,12.36,1,
815,Gl 364,,48.97,-36.92,25.31,-19.85,G,G0V,2.0931483034474474,4.93,1,
816,Gl 218,,49.02,2.12,39.43,-29.04,M,M2,0.010139113857366778,10.72,1,
817,Alderamin,Gl 826|5Alp Cep,49.05,17.21,-14.62,43.54,A,A7IV-V,20.62528697846573,2.45,1,Alderamin
818,GJ 3965,,49.05,-12.94,-33.27,33.63,A,DA8,0.0002324877101502,14.82,1,
819,Gl 376,20    LMi,49.08,-36.17,20.67,25.95,G,G1V,1.4021678337057588,5.37,1,
820,Gl 818,,49.11,35.25,-33.65,6.04,K,K5,0.09718517029401685,8.27,1,
821,Gl 792,,49.12,23.57,-30.32,30.62,M,M4,0.0008009400305333,13.48,1,
822,Gl 378,,49.24,-28.65,16.15,36.64,M,M2,0.01930189727634576,10.03,1,
823,GJ 3916,,49.26,-26.45,-40.5,-9.31,K,K:...,0.006165950018614816,11.27,1,
824,Gl 55,Nu  Phe,49.3,32.69,11.13,-35.18,F,F8V,2.045502431109353,4.97,1,
825,GJ 3069,,49.42,27.87,7.73,40.07,M,m,0.0001789781439409,15.12,1,
826,GJ 1050,,49.42,31.34,26.27,-27.72,M,m,0.003988411869090523,11.75,1,
827,GJ 3213,,49.42,22.64,26.32,35.17,M,m,0.002212075776464126,12.39,1,
828,GJ 3235,,49.42,29.18,39.67,-4.17,K,k-m,0.0011502705477901137,13.1,1,
829,GJ 3247,,49.42,27.36,40.33,-8.21,M,m,0.0002635117589864,14.7,1,
830,GJ 2070,,49.42,-30.83,38.61,-0.99,M,M3.5,0.0016173350557998512,12.73,1,
831,GJ 3753,,49.42,-27.6,-6.13,40.53,A,DA4,0.0023812226232768382,12.31,1,
832,GJ 3953,,49.42,-17.79,-40.69,21.68,M,m,0.0025398028137728155,12.24,1,
833,GJ 4216,,49.42,40.88,-27.31,-4.98,M,M3.5,0.0015024499029989145,12.81,1,
834,GJ 4367,,49.42,48.69,-2.01,-8.21,M,m,0.0008332973486343,13.45,1,
835,Gl 898,,49.43,46.98,-5.6,-14.33,K,K5/M0V,0.07331620890272109,8.59,1,
836,GJ 1021,,49.44,32.7,6.62,-36.48,G,G5IV,0.9576349769692682,5.8,1,
837,HD 36705,,49.47,2.79,20.36,-45,K,K1III(p),0.35481338923357547,6.88,1,
838,GJ 1081,,49.49,4.08,34.87,34.89,K,k-m,0.002620595554733346,12.21,1,
839,GJ 1085,,49.5,2.46,49.31,-3.53,G,G4V,0.8211074640850878,5.97,1,
840,Gl 759,31    Aql,49.5,17.55,-45.14,10.24,G,G8IVvar,1.715536647728346,5.17,1,
841,HD 1317,,49.53,48.8,3.71,7.64,F,F5,0.4353113592296377,6.66,1,
842,Gl 288 A and B,Gl 288,49.61,-18.25,36.76,-27.86,G,G0V,1.4468181989947524,5.36,2,
843,Gl 648,19    Dra,49.76,-5.77,-20.12,45.15,F,F6Vvar,2.2636016404497483,4.88,1,
844,Gl 227,,49.81,-1.4,47.97,13.35,K,K0,0.40142091820432096,6.76,1,
845,Gl 815 A and B,Gl 815,49.87,27,-26.97,32.1,M,M3Ve,0.021681997000169234,10.12,2,
846,GJ 1059,,49.87,23.44,28.7,33.38,M,m,0.0001502449902999,15.33,1,
847,Gl 811.1,,49.96,34.25,-35.22,-9.06,M,M4,0.005733238386538401,11.38,1,
848,GJ 1294A,,49.99,18.5,0.17,-46.44,M,M0V,0.041190778486773716,9.24,1,
849,GJ 1204,,50.02,-17.7,-46.16,7.66,M,m,0.000618870811419,13.8,1,
850,Gl 599 A and B,Gl 599,50.08,-21.59,-33.08,-30.77,G,G6IV,0.8114045949684293,6.01,2,
851,Gl 240,,50.09,-5.2,31.75,-38.39,K,K0,0.029403565736725056,9.61,1,
852,GJ 2021,,50.18,43.59,13.6,-20.81,M,m,0.0003206269324505,14.52,1,
853,GJ 3198,,50.18,32.66,33.85,-17.47,M,M3,0.0015066070661867417,12.84,1,
854,GJ 3233,,50.18,23.73,31.59,30.94,G,G5,0.2523480772480574,7.28,1,
855,GJ 3279,,50.18,11.18,24.58,-42.29,M,m,0.003926449353995993,11.8,1,
