id,name,region,latitude,longitude,name_alternates,wikipedia,prominence_rank
c12-antekerrepenhe,Antekerrepenhe,Central Desert,-22.753908140735,137.62060389685,Antekerrepenh|Andegerebinha|Andegerebenha|Andakerebina|Undekerebina|Walwallie|Williwilli|Yanindo|Andagerebina|Antakiripina|Andeberegina|Arandic,Andegerebinha dialect,111
p3-broome-pearling-lugger-pidgin,Broome Pearling Lugger Pidgin,Pidgins & Creoles,-17.929955022136,122.29890057998,Broom Creole|Koepang Talk|Malay Talk|Japanese Pidgin English,Broome Pearling Lugger Pidgin,112
s53-dhurga,Dhurga,SE Australia,-35.619114492666,150.09470604586,Yuin|Djiringanj|Dyirringan|Thaua|Thawa|Walbanga|Wandandian|Thurga|Thoorga|Tindale|Wurm|Oates|Durga|Bugellimanji|Bargalia|Thauaira|Tharawal|Tadera manji|Guyanagal|Guyangal yuin|Murring|Katungal|Baianga|Paiendra|Paienbera,Dhurga language,113
k37-1-gajirrawoong,Gajirrawoong,Kimberley (WA),-15.293006956048,129.27469359968,Gajirrawung|Kimberley Area Languages|Gadjerawang|Kadjerong|Gadjerong|Gadyerong|Kadjerawang|Kadjeroen|Kadpjeroen|Kajirrawung|Gadyarawang|Gajerong|Ginmu|Kadjarong|Kujera Gajirrawoong  the Mirrawoong name for Gajirrabeng|Gajirrabeng|Kujera,Gajirrawoong dialect,114
k2-jugun,Jugun,Kimberley (WA),-17.786560192971,122.44504552718,Jukun|Dyugun|Djugun|Djurgun|Djukan|Jukan|Djugan|Tjugun|Tjukun|Djukun|Tjugan|Tjunung|Kularrabulu|Jukannganga,Djukun language,115
n22-malak-malak,Malak Malak,Top End & Arnhem (NT),-13.548773042487,130.55241427694,Mullukmulluk|Gamu|Junggor|Kamor|Madngela|Matngela|Ngulul Wanggar|Wooliana|Yunggor|Djiramo|Malack malack|Malag Malag|Mallackmallack|Mallak mallak|Mollak mollak|Mullik mullik|Mulukmuluk|Ngolak wonga|Ngolokwangga|Ngoluk wanggar|Ngulugwongga|Ngulukwongga|Nguluwongga|Valli valli|Mullu Mulluc|Ngolok Wangar|Ngululwanga|Ngulugwanga,Malak-Malak language,116
n215-marranj,Marranj,Top End & Arnhem (NT),-13.65277213493,130.0736750837,,Marranj language,117
g25-mayi-kulan,Mayi-kulan,Gulf Country,-18.780357582714,141.81241533473,Maykulan|Maikulan|Maigudina|Maigudung|Maigulung|Maikolon|Maikudun|Maikudung|Maikudunu|Maikulung|Makulu|Mayagoondoon|Mayagulan|Mayhulan|Miccoolin|Micoolan|Mikadoon|Mikkoolan|Mikoodoono|Mikoolun|Mycoolon|Mygoodan|Mygoodano|Mygoolan|Mykoolan|Mykulau,Mayi-Kulan language,118
g21-mbara,Mbara,Gulf Country,-19.849892873405,143.39513313755,Ambara|Mitjamba|Balgalu|Bargal,Mbara-Yanga language,119
y136-mbarrumbathama,Mbarrumbathama,Cape York & Torres Strait,-14.881623859293,143.83428327832,Lamalama|Mba Rumbathama|Bakanambia|Wanbara|Lamu Lamu|Jeteneru|Badjam|Baganambia|Been gee warra|Funggufan|Koko Lama Lama|Kookoymma|Kulamak|Rimanggudinhma|Rumbatama|Rumbathama,Lamalama language,120
n74-ndj-bbana,Ndjébbana,Top End & Arnhem (NT),-12.155548200634,134.27438255519,Gunavidji|Kunibidji/Gunavidji|Ndeya|Gidjiya|Djeebbana|Gunibidji|Kunibidji|Behribmej|Djapena|Gidjia|Djeepana|Grunavidji|Gudjia|Gunabidji|Gunabwidji|Gunadidji|Gunaviji|Gunawitji|Gunjibidji|Gurmadja madja|Jibidji|Kulunglutchyi|Witchi|Witji|Ndjéya|Gijiya,Ndjébbana language,121
